Station,", Site Name ( 10)",", Site Stability ( )",", Water Table (Depth (m) )",", ""Notes"" (Description of Building or Instrument Housing)",", Topography ( )",", Nearby Faults ( )"
087B,Atene B (Midway Puketapu),High Landslide Susceptibility,,Free field site. Small concrete plinth on rock. Prone to extensive deep-seated landslides and superficial shallow slides and earthflows,"Rock site at base of steep sided, 250m high, conical hill",Nukumaru-Waitototara 1-6 (c. 25 km) 
087C,Atene C (Valley),Low Landslide Susceptibility,1,Free field site. Small concrete plinth set into alluvium.,Gently sloping site at centre of 400m wide valley.,Nukumaru-Waitototara 1-6 (c. 25 km) 
087D,Atene D (Ridge Road),Low Landslide Susceptibility,,Free field site. Small concrete plinth on rock.,Crest of steep sided ridge,Nukumaru-Waitototara 1-6 (c. 24 km) 
088A,Taihape Primary School,Low Landslide Susceptibility,,Concrete floor of single storey wooden framed building,Flat terrace site (1km wide terrace),"Taihape (c. 0.8 km), Rangitikei (c. 3 km), Mataroa (c. 5 km), Snowgrass (c. 17 km), Rangipo S (c. 20 km)"
089A,Wanaka National Park Headquarters,Low Landslide Susceptibility,5,"Concrete ground floor of 2-storey building, ground floor concrete block construction, upper storey timber-framed.","Undulating topography, old lake terrace above town.","Cardrona N (c. 2 km), Grandview (c. 13 km), Cardrona S (c. 15 km) "
090A,Inangahua Substation,Low Landslide Susceptibility,10,"Free field site, on concrete slab, adjacent to single storey light wooden framed building (post 28-02-91). Prior to 28-02-91, on concrete floor inside the same building.",Flat site on floor of 1km wide Buller River valley. Confluence of 2 narrow river valleys in hilly country.,"Inangahua (c. 0.9 km), Lyell (c. 6 km), White Creek (c. 16 km) "
091A,Arapuni Power Station A (drive),Stable,,"Small concrete plinth on rock, 10m inside drainage drive in side of gorge, about 15m above river level","Cut face behind powerhouse, near base of steep sided river gorge, 64m deep and 94m wide at top",Kerepehi S (c. 28 km) 
091B,Arapuni Power Station B (gorge top),Stable,,"Small concrete plinth on rock, at top of gorge, 10m from edge, about 50m above river level","Steep sided rock gorge, 64m deep and 94m wide at top",Kerepehi S (c. 28 km) 
091C,Arapuni Dam (centre crest) (Mighty River),Stable,,On upstream face of concrete gravity-arch dam,"Dam in near-vertical sided river gorge, 64m deep and 94m wide at top",Kerepehi S (c. 30 km) 
092A,"Mangaweka, Carroll's Woolshed",Stable,,Concrete floor of light timber framed building,Terrace near foot of steep slope,"Rangitikei (c. 8 km), Taihape (c. 12 km), Mataroa (c. 14 km) "
093A,Fox Glacier Park Board Headquarters,Low Landslide Susceptibility,,In concrete block basement of 2 storey timber building with tile roof,Broad lowland floodplain. Offset channel of Fox River,Alpine (Fiordland-Kaniere) (c. 0.7 km) 
094A,Mokihinui,Low Landslide Susceptibility,,Free-field site on bedrock,In small excavation at base of steep rock face,"Lyell (c. 14 km), White Creek (c. 15 km), Inangahua (c. 18 km) "
095B,Whakamaru Dam,Stable,,"Accelerograph array on reinforced concrete hydro dam. A - On floor of gallery near centre top of dam, B - On floor of drainage gallery at centre base of dam",Rocky gorge of Waikato river,Whangamata W (c. 20 km) 
096A,Wairoa Telephone Exchange,Stable,5,"Concrete floor in basement of 2-storey reinforced concrete building. R-C frame and shear walls, with concrete block for inside walls. Floor of basement 2m below ground level. (Approximate dimensions 15m x 30m)",Flat site on Wairoa River floodplain,Napier 1931 (c. 13 km) 
097A,Springs Junction Fire Station,Stable,20,"Concrete floor of light, 1-storey, wood-framed, steel-clad building (about 10m x 10m)",River valley (about 1km wide) in mountainous terrain.,"Alpine (Kaniere-Tophouse) (c. 2 km), Awatere SW (c. 6 km) "
098A,Martinborough Post Office,Stable,,Concrete floor of small concrete block outbuilding,Several kilometre wide river floodplain surrounded by low hill country,"Martinborough (c. 1 km), Dry Huangaroa (c. 4 km), Bidwill (c. 4 km), Otaraia (c. 10 km), Hikurangi Subduction Zone"
099A,Tolaga Bay Gift/Coffee Shop,Low Liquefaction Susceptibility,,Concrete floor of light timber framed building,Flat low land adjacent to estuary,"Hikurangi Subduction Zone, Marau F33 (c. 8 km), Pakarai (c. 17 km), Raukumara F27 (c. 18 km), "
099B,Tolaga Bay Telecom Generator Room,Low Liquefaction Susceptibility,,Concrete floor of light timber-framed building,Flat low land adjacent to estuary,"Hikurangi Subduction Zone, Marau F33 (c. 8 km), Pakarai (c. 17 km), Raukumara F27 (c. 18 km), "
100A,Te Araroa District High School,Low Liquefaction Susceptibility,3,"Concrete floor of light single-storey wooden building, corrugated iron roof.","Semicircular coastal plain, with site c500m from toe of hill.",East Cape (c. 15 km) 
100B,Te Araroa District High School,Low Liquefaction Susceptibility,3,"Concrete floor of light single-storey wooden building, corrugated iron roof.","Semicircular coastal plain, with site c500m from toe of hill.",East Cape (c. 15 km) 
102A,Karioi Pulp Mill,Stable,10,"Concrete floor of large 1-storey concrete block building, office of pulp mill",Broad flat plain to the south of Mt Ruapehu,"Shawcroft Rd (c. 3 km), Karioi (c. 4 km), Ohakune (c. 9 km), Rangipo C12 (c. 9 km), Wahianoa (c. 10 km)"
103A,Springs Junction Ranger Station,Stable,20,"Concrete floor of light, 1-storey, wood-framed building",River valley (c. 1 km wide) in mountainous terrain.,"Alpine (Kaniere-Tophouse) (c. 2 km), Awatere SW (c. 6 km) "
103B,Springs Junction Ranger Station,Stable,20,"Concrete floor of light, 1-storey, wood-framed building",River valley (c. 1 km wide) in mountainous terrain.,"Alpine (Kaniere-Tophouse) (c. 2 km), Awatere SW (c. 6 km) "
104A,Kikiwa Line Depot,Stable,20,"Free field site, on small concrete slab.",Terraced river valley (about 1km wide) in hilly country.,"Waimea S (c. 3 km), Wairau (c. 12 km), Alpine (Kaniere-Tophouse) (c. 13 km) "
105A,Marsden Point Power Station,Low Liquefaction Susceptibility,,"Free field site, small concrete slab on ground surface",Flat site on coastal sand dunes,Wairoa N (c. 132 km) 
106A,Oaonui Gas Processing Plant,Stable,,"Concrete floor of 2 storey building, ground floor concrete block, upper floor light wooden structure",Almost flat land with a few Lahar mounds,"Oaonui (c. 4 km), Cape Egmont N (c. 7 km) "
107A,Seddonville School,Low Landslide Susceptibility,3,Concrete floor of light wooden shed,High fluvial terrace in open (c. 2km wide) section of gorged river.,"Lyell (c. 18 km), Inangahua (c. 19 km), White Creek (c. 19 km), Paparoa RF (c. 19 km), "
108A,Manapouri Power Station,Stable,,Concrete ground floor of 3 storey reinforced concrete building (control building located on surface),"Rock site, cut bench near base of steep hillside",Te Anau (c. 27 km) 
110C,South Rangitikei Rail Bridge,Stable,7,"Accelerograph array on South Rangitikei Rail Bridge. Site C - Remote instrument on massive concrete block resting on bedrock on old river terrace. Same elevation as bridge deck. (A - bridge deck, B - base of pier)",Steep sided river gorge cut into rolling hill country,"Rangitikei (c. 7 km), Taihape (c. 11 km), Mataroa (c. 13 km) "
111A,Iwitahi Forestry Headquarters,Stable,,Concrete floor of single storey light wooden framed building,Flat site in gently undulating terrain (Kaingaroa Plateau),Kaingaroa (c. 9 km) 
111B,Iwitahi Forestry Headquarters,Stable,,Concrete floor of single storey light wooden framed building,Flat site in gently undulating terrain (Kaingaroa Plateau),Kaingaroa (c. 9 km) 
112A,Flock Hill Station,Low Landslide Susceptibility,50,Concrete floor of single storey light timber-framed building,Flat site near centre of c.1km wide terraced river valley in mountainous terrain,"Cheeseman (c. 4 km), Torlesse (c. 9 km), Porters-Grey (c. 18 km) "
112B,Flock Hill Station,Low Landslide Susceptibility,50,Concrete floor of single storey light timber-framed building,Flat site near centre of c. 1km wide terraced river valley in mountainous terrain,"Cheeseman (c. 4 km), Torlesse (c. 9 km), Porters-Grey (c. 18 km) "
113A,Maraenui Primary School,Stable,,Concrete floor of single storey wooden shed,"Levelled site on edge of narrow coastal plain, intermediate terrace level","Raukumara F19 (c. 1 km), Raukumara F18 (c. 2 km), Raukumara F17 (c. 5 km), Raukumara F20 (c. 7 km), Raukumara F21 (c. 10 km)"
114A,Ohakea RNZF Signal Station,Stable,,Concrete floor of 1-storey reinforced concrete building,Rolling hill country.,"Mt Stewart (c. 4 km), Leedstown (c. 5 km), Marton Anticline (c. 8 km), Feilding Anticline (c. 11 km), Himatangi Anticline (c. 12 km)"
114B,Ohakea RNZAF Avionics Department,Stable,15,Concrete floor of large 1-storey reinforced concrete masonry building,Floodplain alluvium bounded by low hill country.,"Marton Anticline (c. 5 km), Leedstown (c. 5 km), Mt Stewart (c. 8 km), Himatangi Anticline (c. 11 km), Feilding Anticline (c. 14 km)"
114C,Ohakea RNZAF Avionics Department,Stable,15,Concrete floor of large 1-storey reinforced concrete masonry building,Floodplain alluvium bounded by low hill country.,"Marton Anticline (c. 5 km), Leedstown (c. 5 km), Mt Stewart (c. 8 km), Himatangi Anticline (c. 11 km), Feilding Anticline (c. 14 km)"
115A,Takaka Scott's Farm,Stable,,Concrete floor of concrete block basement beneath light single storey wooden framed building,Rock site cut into hillside on edge piedmont coastal plain,White Creek (c. 51 km) 
116A,Otaki Chatterton Motors,Stable,5,Concrete floor of single storey light timber framed building,Flat alluvial plain (floodplain of Otaki River),"North Ohariu (c. 4 km), Ohariu C (c. 5 km), Poroutawhao (c. 5 km), Akatarawa-Otaki (c. 15 km), Levin Anticline (c. 18 km)"
117A,Rotorua Police Station,Stable,,Concrete floor of single-storey reinforced-concrete (shear wall) store-room. Site near one end of building. Part of station complex of 4 substantial buildings. (Approximate dimensions 5m x 40m for the building housing the accelerograph),Flat land near lake shore,"Horohoro (c. 4 km), Ngakuru SW (c. 7 km), Ngakuru New (c. 8 km), Maleme (c. 17 km), Whirinaki E (c. 18 km)"
117B,Rotorua Police Station,Stable,,Concrete floor of single-storey reinforced-concrete (shear wall) store-room. Site near one end of building. Part of station complex of 4 substantial buildings. (Approximate dimensions 5m x 40m for the building housing the accelerograph),Flat land near lake shore,"Horohoro (c. 4 km), Ngakuru SW (c. 7 km), Ngakuru New (c. 8 km), Maleme (c. 17 km), Whirinaki E (c. 18 km)"
118A,Cromwell Bridge,Stable,,"Array at Deadman Point bridge (across Lake Dunstan/Clutha River) near Cromwell. The bridge is seismically-isolated with rubber bearings and fitted with steel-bar dampers. Site A - Free-field site, small concrete slab on rock ledge above steep sided river gorge, true left side.",Steep sided river gorge on eastern side of 5km wide valley of Clutha River.,"Pisa (c. 5 km), Dunstan (c. 16 km), OldMan (c. 20 km) "
118B,Cromwell Bridge,Low Landslide Susceptibility,,"Array at Deadman Point bridge (across Lake Dunstan/Clutha River) near Cromwell. The bridge is seismically-isolated with rubber bearings and fitted with steel-bar dampers. Site B - Free-field site, small concrete slab on moderately steeply sloping site ~50m from steep sided river gorge, true right side.",Steep sided river gorge on eastern side of 5km wide valley of Clutha River.,"Pisa (c. 5 km), Dunstan (c. 16 km), OldMan (c. 20 km) "
119A,Atiamuri Dam (implement shed),Stable,,,In gorge of Waikato River?,"Maleme (c. 8 km), Tuahu (c. 8 km), Ohakuri (c. 10 km), Puketerata (c. 12 km), Ngakuru New (c. 13 km)"
120A,Woodville Post Office,Stable,5,Concrete floor of single storey concrete & brick building,"Flat site, floodplain of Manawatu River.","Woodville (c. 2 km), Wellington (Pahiatua) (c. 3 km), Ruahine S (c. 5 km), Pahiatua (c. 7 km), Ruahine Reverse (c. 13 km)"
120B,Woodville Police Station,Stable,5,"Concrete floor of single-storey timber-framed brick-clad building, corrugated-iron roof.","Flat site, floodplain of Manawatu River.","Woodville (c. 2 km), Wellington (Pahiatua) (c. 3 km), Ruahine S (c. 5 km), Pahiatua (c. 7 km), Ruahine Reverse (c. 13 km)"
120C,Woodville Police Station,Stable,5,"Concrete floor of single-storey timber-framed brick-clad building, corrugated-iron roof.","Flat site, floodplain of Manawatu River.","Woodville (c. 2 km), Wellington (Pahiatua) (c. 3 km), Ruahine S (c. 5 km), Pahiatua (c. 7 km), Ruahine Reverse (c. 13 km)"
121A,Clyde Dam,Stable,,"Accelerograph array on hydro dam. A - Free field site located on schist rock outcrop on side of valley 150m downstream of dam, B - In gallery at base of dam, C - In gallery near top of dam","Steeply sloping rock, Clutha River valley","Dunstan (c. 2 km), OldMan (c. 8 km), Pisa (c. 19 km) "
122A,Murchison MWD Depot Office,Stable,10,On concrete block (1.5m x 1.5m x 2m high) through floor of single storey wooden framed building,2-3km wide alluvial flat at confluence of several rivers.,"White Creek (c. 12 km), Lyell (c. 19 km) "
123A,Te Marua Dam,Stable,2,"Array at water storage lake: A - Free field site, 20m from base of embankment, B - On crest of embankment, C - On concrete wall at top of intake tower, Lower Lake",Terrace of Hutt River in 1km wide valley.,"Wellington (Hutt Valley) (c. 0.1 km), Akatarawa-Otaki (c. 5 km), Wellington (Tararua East) (c. 7 km), Moonshine (c. 7 km), Whitemans (c. 12 km)"
124A,Mohaka Dam A (Raupunga),Stable,,"Free-field site, on small concrete plinth cast into rock","In gorge of Mohaka River, c 5 m above river level","Patoka-Rangiora (c. 18 km), Waimana S (c. 19 km) "
124B,Mohaka Dam B (Te Hoe site m55),Stable,,Free field site. Accelerograph mounted on small concrete pad on river terrace,Terrace adjacent to gorge of Mohaka River. Rock exposed in places.,"Mohaka N (c. 5 km), Patoka-Rangiora (c. 7 km), Waimana S (c. 8 km), Whakatane S (c. 11 km), Waiohau S (c. 14 km)"
125A,Ruataniwha Dam,Stable,,"Accelerograph array on Ruataniwha earth Dam. Site A - concrete floor of gallery in spillway structure, on rock, B - face of dam, centre crest, C - ace of dam, mid-height centre, D - Free field site at base",River valley,Ostler (c. 5 km) 
125D,Ruataniwha Dam,Stable,,"Accelerograph array on Ruataniwha earth Dam. Site A - concrete floor of gallery in spillway structure, on rock, B - face of dam, centre crest, C - face of dam, mid-height centre, D - Free field site at base",River valley,Ostler (c. 5 km) 
126C,Pukaki Dam,Stable,,"Accelerograph array on Pukaki High Dam. A - On face of dam, centre, near crest, B - On face of dam, centre, mid-height, C - Free field site near centre base of dam",Broad valley,"Ostler (c. 7 km), Irishman Creek (c. 11 km) "
127A,Patea Dam,Stable,,"Free field site on siltstone road cutting, 300m southwest of dam",On bedrock near road to Patea Dam,"Ararata (c. 16 km), Waverly-Okaia 1 (c. 17 km) "
128A,Wellsford College,Low Landslide Susceptibility,,"Concrete floor of single storey building (boiler house, mix of concrete, brick and timber walls, galvanised iron roof)",Near crest of broad low ridge in rolling hill country,Wairoa N (c. 88 km) 
129A,Murchison Area School,Stable,10,Concrete floor of high stud single storey wooden gymnasium complex,"Flat site, degradational terrace in outwash gravels, middle of 2-3km wide valley at confluence of several rivers.","White Creek (c. 12 km), Lyell (c. 19 km) "
130A,Branch River Power Station,Stable,,Ground floor of light single storey steel framed building (Argyle Power House),Flat terrace of moraine and outwash gravel,Wairau (c. 0.5 km) 
130B,Branch River Power Station,Stable,,Ground floor of light single storey steel framed building (Argyle Power House),Flat terrace of moraine and outwash gravel,Wairau (c. 0.5 km) 
131A,Paraparaumu Primary School,Stable,,"Mounted on wall of concrete block half-basement (floor 1.2m depth below ground level) beneath single storey timber-frame building. Brick veneer cladding, iron roof. 4m x 6m.","Flat coastal plain, about 4km wide","Ohariu C (c. 2 km), Pukerua-Shepherds (c. 6 km), Wairau Offshore (c. 13 km), Akatarawa-Otaki (c. 14 km), Moonshine (c. 15 km)"
